"Dataset","model_AIC","model_BIC","model_logLik","maineffect_intercept","maineffect_slope","intercept_p","slope_p","mad_main","rmse"
"ds115","20705.9004143681","20752.9688875632","-10346.9502071841","-1.02902564764722","0.878390299842523","1.22250170804226e-15","7.19968360806086e-121","0.17279519559866","0.415686414979681"
"ds605","3316.74096108248","3355.98173005868","-1652.37048054124","1.48767594796721","0.0922038542089325","1.60909457206182e-09","3.28148952750819e-05","0.08772671487168","0.296186959320764"
"ds104","6925.01994489968","6965.24098551656","-3456.50997244984","1.18156359561628","0.071072022371602","0.002074446068983","0.63332916950939","0.184859512490968","0.429952918923651"
"ds271","1247.9050975475","1277.93983166302","-617.952548773752","-0.644398548967951","0.0423231803992673","0.151571885361784","0.813006574722447","0.151521453271635","0.389257566749363"
"ds1935","7992.30846798702","8034.66627051433","-3990.15423399351","1.12101817794303","0.162007482165372","0.0439343962251301","0.0469413623812854","0.143325181688629","0.378583123882496"
"ds1330","49698.1447113004","49749.5630667997","-24843.0723556502","0.423614092272193","0.0288034844464521","0.00393506446890215","0.795147579444807","0.201318232249751","0.448685003370684"
"ds1943","127726.568371652","127785.505637888","-63857.2841858259","0.939079357966934","0.0446944779670774","9.40839255846488e-05","0.000458077601315398","0.150803418477909","0.388334158268249"
"ds406","426309.959197885","426375.929581611","-213148.979598943","0.604685025304558","0.140776601838779","0.0582573518131955","0.0077821397383743","0.156077507077536","0.395066459064214"
"ds4555","36907.1558363518","36957.4039042154","-18447.5779181759","0.0142828282268339","0.0303153092883779","0.939885800724878","5.20421011426141e-07","0.190947413236911","0.436975300488382"
"ds253","14552.7496905667","14598.3943139491","-7270.37484528333","0.889513815531577","0.0405963444063236","0.00187075532304979","9.23387924894077e-05","0.157508790067052","0.396873770948713"
"ds392","29125.6357995637","29177.4512206958","-14556.8178997818","1.31089555997381","0.14676424574111","3.59959053570017e-08","1.21924012378877e-16","0.102548906247858","0.320232581490169"
"ds394","5540.68349015","5580.64917308037","-2764.341745075","0.785002830206966","0.152423952155885","0.00171523479308653","0.00109990994860504","0.144516048403876","0.380152664601836"
"ds1007","3681.33267905199","3720.51096588381","-1834.666339526","0.36460457117606","0.0610578717723487","0.62910881672996","0.000581622133820369","0.105341891263856","0.324564155851899"
"ds99","14522.2735242696","14568.8726544544","-7255.13676213481","0.596631480566575","0.110384737051754","0.00123986919703411","8.89469861334109e-10","0.129512047503181","0.359877823022177"
"ds308","3034.04878294762","3072.03685549669","-1511.02439147381","0.648339282986383","0.454397865122552","0.239131883828222","0.0902108928741108","0.101735495266664","0.318960021423789"
"ds562","57406.9617208621","57459.6944179663","-28697.480860431","0.474458433845187","0.0609721783870944","0.000116713384031942","0.0109630121028688","0.198818480863767","0.44589066021141"
"ds563","58323.6838038546","58377.2185711658","-29155.8419019273","0.689871687566098","0.0589588060397156","5.73297068424851e-05","7.25687910933625e-06","0.172450663464787","0.41527179468968"
"ds564","67567.8570843962","67622.4725551548","-33777.9285421981","0.530372098063037","0.0143490953681315","0.00099173081181366","0.533032644774339","0.167517796079905","0.409289379388111"
"ds565","60058.1616900056","60111.9654980196","-30023.0808450028","0.556807460863189","0.0913131492974762","0.000289950175486982","1.95632111753121e-12","0.167852491591553","0.409698049289416"
"ds566","63986.1815456931","64040.5726507763","-31987.0907728466","0.935339292589355","0.0716050638988787","2.65849369125246e-08","0.0113799279089349","0.164626496741692","0.405741909028008"
"ds567","48963.1356191154","49015.532307832","-24475.5678095577","0.78311134982534","0.119997606525233","8.78574407369335e-10","0.0034388266303148","0.171791869231893","0.414477827189697"
"ds372","6242.52340646672","6283.75412228162","-3115.26170323336","0.996153384370756","0.146432565435314","0.000356239484805196","0.000103275991403377","0.13266512076563","0.364232234660293"
"ds1980","6879.81732212488","6920.57899455441","-3433.90866106244","0.299196452744256","0.14852301552859","0.430891864320803","0.000169826416748122","0.158886314362346","0.398605462032755"
"ds1899","5502.96315792152","5541.98172352375","-2745.48157896076","-0.350377328506286","0.122172907489585","0.443584265800224","0.32290002050569","0.155311412358105","0.394095689342202"
"ds1387","3260.64516638501","3298.27292230288","-1624.3225831925","0.95006102546858","0.308369024635683","7.04456503035285e-05","4.58033771520054e-06","0.119584372600038","0.345809734680847"
"ds445","4926.6309636638","4964.79419995203","-2457.3154818319","-0.512508415029465","0.294224807839652","0.0214679243392433","0.00438490044118282","0.179804671106257","0.424033808918884"
"ds447","87298.0232262617","87354.6048573728","-43643.0116131309","0.69318444763535","0.0719735995927682","2.18256274240077e-08","1.54421568490715e-24","0.152179623101744","0.39010206754354"
"ds531","110340.154507921","110398.189294674","-55164.0772539603","0.783716231913039","0.0393318164068732","4.21385915787319e-10","2.68356186560174e-18","0.152510561714895","0.390526006451421"
