"Dataset","model_AIC","model_BIC","model_logLik","maineffect_slope"
"ds605","3992.55877603164","4090.90786893824","-1981.27938801582","0.486430567382424"
"ds372","6256.69410443196","6359.77089396922","-3113.34705221598","0.262723104285137"
"ds392","30226.2232105039","30355.7617633342","-15098.111605252","0.247106015556747"
"ds394","5545.69772427823","5645.61193160415","-2757.84886213912","0.253613750440609"
"ds115","20785.5260858032","20903.3153141356","-10377.7630429016","0.789595897957226"
"ds563","60000.3621816344","60134.1990999125","-29985.1810908172","0.0504634762312682"
"ds565","61212.1522688632","61346.6617888981","-30591.0761344316","0.159037502552179"
"ds566","65571.8729518091","65707.8783854751","-32770.9364759045","0.137835406445849"
"ds1980","6812.53879371477","6914.44297478861","-3391.26939685738","0.252126218080831"
"ds445","4997.42725310524","5093.01669920861","-2483.71362655262","0.0270589321466314"
"ds104","7297.14145584773","7397.81804553182","-3633.57072792387","0.139461479134595"
